rank,xc_utm,yc_utm,zmean_m,ponding_m,basins,manholes,mean_pci,s_pond,s_basin_deficit,s_pci,priority
157,328931.21,4695400.92,-22.01,0.153,2,4,88.0,0.087,0.333,0.12,16.7
158,328881.21,4695850.92,-22.58,0.009,4,3,,0.005,0.2,0.5,16.3
159,328881.21,4695800.92,-22.55,0.0,4,3,,0.0,0.2,0.5,16.0
160,328931.21,4695550.92,-22.73,0.017,2,3,75.9,0.009,0.333,0.241,15.3
161,328881.21,4695750.92,-22.58,0.01,2,5,77.5,0.005,0.333,0.225,14.8
162,328881.21,4695700.92,-23.03,0.15,4,3,81.0,0.085,0.2,0.19,14.0
163,328831.21,4695700.92,-22.65,0.018,8,7,,0.01,0.111,0.5,13.8
164,328931.21,4695800.92,-22.55,0.0,2,1,83.4,0.0,0.333,0.166,13.3
165,328831.21,4695750.92,-22.55,0.0,5,10,60.0,0.0,0.167,0.4,13.0
166,328831.21,4695800.92,-22.55,0.088,5,8,83.0,0.05,0.167,0.17,10.9
167,328781.21,4695750.92,-22.55,0.052,5,8,82.7,0.029,0.167,0.173,9.9
168,328881.21,4695550.92,-22.97,0.087,6,14,89.0,0.049,0.143,0.11,9.0
169,328881.21,4695600.92,-23.12,0.063,5,6,89.6,0.036,0.167,0.104,8.9
