rank,x0_utm,y0_utm,zmean_ft,ponding_ft,basins,mean_pci,s_pond,s_basin_deficit,s_pci,priority
1397,327084.2,4694375.4,21.0,2.141,0,,0.535,1.0,0.5,66.8
1398,327284.2,4694675.4,71.2,2.144,0,,0.536,1.0,0.5,66.8
1399,328134.2,4694825.4,23.1,2.141,0,,0.535,1.0,0.5,66.8
1400,327834.2,4694925.4,33.2,2.145,0,,0.536,1.0,0.5,66.8
1401,327084.2,4694125.4,10.6,2.138,0,,0.535,1.0,0.5,66.7
1402,328434.2,4695325.4,10.0,2.139,0,,0.535,1.0,0.5,66.7
1403,325084.2,4696825.4,61.6,2.133,0,,0.533,1.0,0.5,66.7
1404,326984.2,4693825.4,9.3,3.331,1,,0.833,0.5,0.5,66.6
1405,328234.2,4694675.4,30.4,2.125,0,,0.531,1.0,0.5,66.6
1406,326884.2,4694775.4,69.9,2.132,0,,0.533,1.0,0.5,66.6
1407,326934.2,4695575.4,65.7,3.983,4,45.7,0.996,0.2,0.543,66.6
1408,328384.2,4696025.4,15.7,2.118,0,,0.53,1.0,0.5,66.5
1409,329134.2,4693575.4,11.7,2.114,0,,0.528,1.0,0.5,66.4
1410,328284.2,4694875.4,20.8,2.116,0,,0.529,1.0,0.5,66.4
1411,327384.2,4695475.4,64.5,3.709,2,,0.927,0.333,0.5,66.4
1412,326884.2,4695725.4,68.3,3.894,2,61.3,0.973,0.333,0.387,66.4
1413,325384.2,4696175.4,33.9,2.112,0,,0.528,1.0,0.5,66.4
1414,328584.2,4693675.4,14.2,2.102,0,,0.525,1.0,0.5,66.3
1415,328534.2,4693775.4,15.0,2.102,0,,0.526,1.0,0.5,66.3
1416,327684.2,4694425.4,74.6,2.107,0,,0.527,1.0,0.5,66.3
1417,327584.2,4694825.4,34.5,3.908,3,,0.977,0.25,0.5,66.3
1418,325584.2,4695575.4,28.6,1.757,0,28.1,0.439,1.0,0.718,66.3
1419,325584.2,4696475.4,33.0,3.3,1,,0.825,0.5,0.5,66.3
1420,325434.2,4695675.4,24.7,2.417,0,70.2,0.604,1.0,0.298,66.2
1421,325334.2,4696975.4,75.4,2.096,0,,0.524,1.0,0.5,66.2
1422,327984.2,4695075.4,19.6,2.088,0,,0.522,1.0,0.5,66.1
1423,327334.2,4695975.4,70.4,2.088,0,,0.522,1.0,0.5,66.1
1424,325034.2,4696175.4,16.7,3.687,2,,0.922,0.333,0.5,66.1
1425,324684.2,4698025.4,16.1,2.084,0,,0.521,1.0,0.5,66.1
1426,327834.2,4693425.4,9.8,4.0,4,,1.0,0.2,0.5,66.0
1427,327734.2,4693475.4,10.5,4.0,4,,1.0,0.2,0.5,66.0
1428,328034.2,4694375.4,20.6,2.078,0,,0.52,1.0,0.5,66.0
